Battery size (kWh),Solar scaling (%),Buy Electricity price (CHF/kWh),Sell PV price (CHF/kWh),Price type selection,Price peak power (CHF/kW max year/year),Battery C rate (-),Battery SOC for backup (%),Level of peak shaving (%),Battery SOC for peak shaving (%),Dataset choice,Self-consumption ratio with storage (%),Autarky ratio with storage (%),PV sell revenue with storage (CHF),Cost Buying Electricity with storage(CHF),Bill with storage (CHF),Gain of storage (CHF),Total gain of solar and storage (CHF),Throughput Energy (kWh),Number of equivalent 80% DOD cycles,Battery total price (CHF),Battery variable price (CHF/kWh),Cost of storage over 15 years (ct/kWh),Peak grid consumption with batt (kW),Reference grid injection (kWh),Reference grid consumption (kWh),Reference self-consumption (%),Reference autarky (%)
30.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House3.csv,50.4288324470966,61.26354328659255,762.4248414327176,989.6891626955285,227.26432126281088,377.2159572177659,2327.665186146104,3528.517166034923,147.02154858478843,14833.333333333336,461.1111111111112,28.02562216241466,13.921243326699999,10868.561622818124,7116.246797797682,20.855233042839412,28.696303559320274
35.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House3.csv,51.29676475482693,62.355635953022784,749.0756873828476,961.7869649126542,212.71127752980658,391.7690009507702,2342.2182298791085,3637.510126124277,129.9110759330099,16166.666666666668,433.33333333333337,29.62954714647453,13.921243326699999,10868.561622818124,7116.246797797682,20.855233042839412,28.696303559320274
40.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House3.csv,51.92804332243548,63.15384762973654,739.3663646945093,941.3932192527107,202.0268545582013,402.45342392237546,2352.902652850714,3717.173195108431,116.16166234713847,17222.222222222226,405.5555555555556,30.887668878572573,13.921243326699999,10868.561622818124,7116.246797797682,20.855233042839412,28.696303559320274
45.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House3.csv,52.46318654020038,63.832676651672685,731.1356430252495,924.0496162664087,192.91397324115928,411.5663052394175,2362.0155341677555,3784.921644273673,105.13671234093536,18000.000000000004,377.7777777777778,31.70475145279475,13.921243326699999,10868.561622818124,7116.246797797682,20.855233042839412,28.696303559320274
50.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House3.csv,52.843411695296474,64.31912555927538,725.2876245521422,911.6211895875988,186.33356503545656,418.1467134451202,2368.5959423734585,3833.470185987773,95.83675464969433,18500.000000000004,350.00000000000006,32.17276445350884,13.921243326699999,10868.561622818124,7116.246797797682,20.855233042839412,28.696303559320274
50.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House4.csv,94.25927934764125,45.261908558422256,65.97003799477862,2747.1563540266825,2681.186316031904,359.90609167295815,2337.54247351447,3467.398742638772,86.68496856596929,18500.000000000004,350.00000000000006,35.569411679336824,10.7598933333,4507.041344666875,13851.097805888874,56.073232563453935,29.347028161925202
50.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House4.csv,94.25927934764125,45.261908558422256,65.97003799477862,2747.1563540266825,2681.186316031904,359.90609167295815,2337.54247351447,3467.398742638772,86.68496856596929,18500.000000000004,350.00000000000006,35.569411679336824,10.7598933333,4507.041344666875,13851.097805888874,56.073232563453935,29.347028161925202
50.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House4.csv,94.25927934764125,45.261908558422256,65.97003799477862,2747.1563540266825,2681.186316031904,359.90609167295815,2337.54247351447,3467.398742638772,86.68496856596929,18500.000000000004,350.00000000000006,35.569411679336824,10.7598933333,4507.041344666875,13851.097805888874,56.073232563453935,29.347028161925202
45.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House4.csv,93.95249131973733,45.109731187819236,69.49552182908609,2754.7937235363106,2685.2982017072245,355.7942059976376,2333.4305878391497,3437.5652679917853,95.48792411088293,18000.000000000004,377.7777777777778,34.90842810094589,10.7598933333,4507.041344666875,13851.097805888874,56.073232563453935,29.347028161925202
40.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House4.csv,93.56641974628323,44.92010493929807,73.9321000762798,2764.310550663379,2690.3784505870995,350.7139571177627,2328.3503389592747,3400.390162026675,106.2621925633336,17222.222222222226,405.5555555555556,33.76518850601067,10.7598933333,4507.041344666875,13851.097805888874,56.073232563453935,29.347028161925202
